id;fence_id;fence_name;fence_code;type;created_by;created_time;modified_by;modified_time
1;67358;Money Market Account;next-generation;91425;Handcrafted Concrete Shoes;2020-02-05T10:38:27;Licensed Movies Checking Account;2020-02-04T15:54:33
2;49907;encoding Australian Dollar primary;Armenian Dram;69110;transmitting Car Coordinator;2020-02-04T15:47:46;Croatian Kuna blue reboot;2020-02-05T03:39:52
3;32531;Tools Car;Division;45782;Bacon;2020-02-05T06:35:12;Hat Licensed Granite Fish Soft;2020-02-05T05:11:42
4;14256;user-facing;Auto Loan Account Avon Baby;14417;Personal Loan Account Inlet;2020-02-04T18:49:21;Borders e-business Madagascar;2020-02-04T14:38:53
5;96948;Borders Lithuania;Games Avon;63112;SSL;2020-02-05T07:40:50;Dalasi;2020-02-04T13:50:42
6;3876;Gold;global;24491;best-of-breed aggregate;2020-02-04T19:36:22;indexing Lari 24/7;2020-02-04T21:57:31
7;80311;Program;Towels;90772;Cotton IB Toys;2020-02-05T00:35:54;convergence Avon;2020-02-05T00:32:23
8;94169;compressing;Thailand Fantastic;63868;Investment Account;2020-02-04T23:59:07;Phased neural Congo;2020-02-04T22:50:08
9;49398;Buckinghamshire Incredible global;Ukraine;39607;Monitored;2020-02-05T05:55:37;New Israeli Sheqel 5th generation;2020-02-04T12:28:17
10;24936;Handmade synthesizing;Generic Rubber Shoes Buckinghamshire alarm;40273;synthesizing Human;2020-02-04T12:00:21;Avon;2020-02-04T22:16:50
